PRC;X;Y;WKT;EPSG;;
ELCELE__EWOWINE070DKB;0;0;;25832;;
ELCELE__EWOWINE071DKB;0;0;;25832;;
ELCELE__EWOWINE072DKB;0;0;;25832;;
ELCELE__EWOWINE073DKB;866970;6127812;;25832;;
ELCELE__EWOWINE074DKB;866630,3;6128181,96;;25832;;
ELCELE__EWOWINE075DKB;866800,1;6127996,86;;25832;;
ELCELE__EWOWINE076DKB;0;0;;25832;;
ELCELE__EWOWINE077DKB;0;0;;25832;;
ELCELE__EWOWINE078DKB;0;0;;25832;;
ELCELE__EWOWINE079DKB;0;0;;25832;;
ELCELE__EWOWINE080DKB;0;0;;25832;;
ELCELE__EWOWINE081DKB;0;0;;25832;;
ELCELE__EWOWINE082DKB;0;0;;25832;;
ELCELE__EWOWINE083DKB;0;0;;25832;;
ELCELE__EWOWINE084DKB;0;0;;25832;;
ELCELE__EWOWINE085DKB;0;0;;25832;;
ELCELE__EWOWINE086DKB;0;0;;25832;;
ELCELE__EWOWINE087DKB;0;0;;25832;;
ELCELE__EWOWINE088DKB;484988;6114994;;25832;;
ELCELE__EWOWINE089DKB;0;0;;25832;;
